#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
ADGRL4	64123	8	8	-	-	616419
ADGRV1	84059	441	373	415	32	602851
ADH1A	124	5	5	-	-	103700
ADH1B	125	8	7	3	-	103720
ADH1C	126	8	8	3	-	103730
ADH4	127	5	5	-	-	103740
ADH5	128	5	5	-	-	103710
ADH6	130	5	5	-	-	103735
ADH7	131	5	5	-	-	600086
ADHFE1	137872	15	15	-	-	611083
ADI1	55256	19	19	-	-	613400
ADIG	149685	5	5	-	-	611396
ADIPOQ	9370	21	21	1	1	605441
ADIPOQ-AS1	100874095	21	21	-	1	-
ADIPOR1	51094	2	2	-	-	607945
ADIPOR2	79602	27	27	-	2	607946
ADIRF	10974	14	14	-	-	-
ADIRF-AS1	100133190	14	14	-	-	-
ADK	132	12	12	4	7	102750
ADM	133	5	5	-	-	103275
ADM2	79924	53	53	-	1	608682
ADM5	199800	3	3	-	-	-
ADNP	23394	15	15	8	8	611386
ADNP-AS1	101927631	11	11	-	3	-
ADNP2	22850	80	80	-	-	-
ADO	84890	7	7	-	-	611392
ADORA1	134	1	1	-	-	102775
ADORA2A	135	34	34	-	-	102776
ADORA2A-AS1	646023	34	34	-	-	-
ADORA2B	136	17	17	-	3	600446
ADORA3	140	4	4	-	-	600445
ADPGK	83440	11	11	-	-	611861
ADPGK-AS1	100287559	11	11	-	-	-
ADPRH	141	11	11	-	-	603081
ADPRHL1	113622	59	59	-	-	610620
ADPRHL2	54936	2	2	-	-	610624
ADPRM	56985	4	4	-	-	-
ADRA1A	148	44	44	-	-	104221
ADRA1B	147	6	6	-	-	104220
ADRA1D	146	14	14	-	-	104219
ADRA2A	150	10	10	-	-	104210
ADRA2B	151	23	23	2	2	104260
ADRA2C	152	58	58	1	-	104250
ADRB1	153	14	14	2	-	109630
ADRB2	154	11	8	7	-	109690
ADRB3	155	33	33	1	-	109691
ADRBK1	156	4	4	-	-	109635
ADRBK2	157	14	14	-	-	109636
ADRM1	11047	8	8	-	-	610650
ADSL	158	78	69	72	22	608222
ADSS	159	50	50	-	-	103060
ADSSL1	122622	31	31	-	-	612498
ADTRP	84830	13	13	-	-	614348
AEBP1	165	9	9	-	-	602981
AEBP2	121536	14	14	-	-	-
AEN	64782	10	10	-	-	610177
AES	166	9	9	-	-	600188
AFAP1	60312	34	34	-	2	608252
AFAP1-AS1	84740	34	34	-	-	-
AFAP1L1	134265	4	4	-	-	614410
AFAP1L2	84632	11	11	-	-	612420
AFF1	4299	13	13	-	2	159557
AFF2	2334	124	124	22	3	300806
AFF3	3899	7	7	-	-	601464
AFF4	27125	9	9	3	3	604417
AFG3L1P	172	26	26	-	-	603020
AFG3L2	10939	65	61	19	14	604581
AFM	173	8	8	-	-	104145
AFMID	125061	5	5	-	-	-
AFP	174	11	11	3	2	104150
AFTPH	54812	5	5	-	1	-
AGA	175	73	73	19	28	613228
AGAP1	116987	39	39	-	3	608651
AGAP1-IT1	100506749	29	29	-	-	-
AGAP10	728127	64	63	-	-	-
AGAP11	119385	14	14	-	-	-
AGAP2	116986	3	3	-	-	605476
AGAP2-AS1	100130776	3	3	-	-	-
AGAP3	116988	36	36	-	1	-
AGAP4	119016	13	13	-	-	-
AGAP5	729092	7	7	-	-	-
AGAP6	414189	14	14	-	-	-
AGAP7P	653268	22	22	-	-	-
AGAP9	642517	70	70	-	-	-
AGBL1	123624	12	12	2	2	615496
AGBL1-AS1	727915	9	9	-	-	-
AGBL2	79841	5	5	-	-	-
AGBL3	340351	14	14	-	1	-
AGBL4	84871	12	12	-	-	616476
AGBL4-IT1	100874313	4	4	-	-	-
AGBL5	60509	9	9	-	-	615900
AGBL5-AS1	100874031	9	9	-	-	-
AGER	177	1	1	-	-	600214
AGFG1	3267	11	11	-	-	600862
AGFG2	3268	8	8	-	-	604019
AGGF1	55109	2	2	-	-	608464
AGK	55750	33	33	10	12	610345
AGL	178	55	46	48	34	610860
AGMAT	79814	19	19	-	-	-
AGMO	392636	22	22	-	1	613738
AGO1	26523	3	3	-	-	606228
AGO2	27161	29	29	-	-	606229
AGO3	192669	3	3	-	2	607355
AGO4	192670	2	2	-	-	607356
AGPAT1	10554	1	1	-	-	603099
AGPAT2	10555	43	43	12	9	603100
AGPAT3	56894	47	47	-	-	614794
AGPAT4	56895	21	21	-	1	614795
AGPAT4-IT1	79992	18	18	-	-	-
AGPAT5	55326	51	51	-	-	614796
AGPS	8540	19	19	8	4	603051
AGR2	10551	20	20	-	-	606358
AGR3	155465	23	23	-	-	609482
AGRN	375790	117	116	35	5	103320
AGRP	181	15	14	2	-	602311
AGT	183	28	25	8	4	106150
AGTPBP1	23287	19	19	-	-	606830
AGTR1	185	10	10	5	4	106165
AGTR2	186	90	89	9	-	300034
AGTRAP	57085	27	27	-	-	608729
AGXT	189	298	296	241	180	604285
AGXT2	64902	9	9	-	-	612471
AHCTF1	25909	44	44	-	-	610853
AHCY	191	8	8	2	3	180960
AHCYL1	10768	6	6	-	-	607826
AHCYL2	23382	11	11	-	1	616520
AHDC1	27245	19	15	13	10	615790
AHI1	54806	46	42	40	13	608894
AHNAK	79026	3	3	-	2	103390
AHNAK2	113146	30	30	-	-	608570
AHR	196	28	28	-	-	600253
AHRR	57491	76	76	-	-	606517
AHSA1	10598	10	10	-	-	608466
AHSA2	130872	12	12	-	-	-
AHSG	197	24	24	5	-	138680
AHSP	51327	2	2	-	-	605821
AICDA	57379	29	29	12	12	605257
AIDA	64853	11	11	-	-	612375
AIF1	199	1	1	-	-	601833
AIF1L	83543	19	19	-	-	-
AIFM1	9131	111	111	2	16	300169
AIFM1	9131	111	111	2	16	310490
AIFM2	84883	7	7	-	-	605159
AIFM3	150209	168	168	-	1	-
AIG1	51390	3	3	-	-	608514
AIM1	202	10	10	-	1	601797
AIM1L	55057	1	1	-	-	-
AIM2	9447	3	3	-	-	604578
AIMP1	9255	5	5	2	2	603605
AIMP2	7965	26	26	-	-	600859
AIP	9049	77	76	12	56	605555
AIPL1	23746	68	54	33	8	604392
AIRE	326	112	104	50	23	607358
AIRN	100271873	13	13	-	-	604893
AJAP1	55966	44	44	-	4	610972
AJUBA	84962	10	10	-	-	609066
AK1	203	25	25	7	8	103000
AK2	204	20	20	14	14	103020
AK3	50808	89	89	-	-	609290
AK4	205	11	11	-	-	103030
